@@,name,position
->,Nicola Sturgeon,First Minister of Scotland->First Minister
->,Michael Matheson,"Cabinet Secretary for Justice->Cabinet Secretary for Net Zero, Energy and Transport"
->,Shona Robison,"Cabinet Secretary for Health and Sport->Cabinet Secretary for Social Justice, Housing and Local Government"
->,Keith Brown,"Cabinet Secretary for Economy, Jobs and Fair Work->Cabinet Secretary for Justice and Veterans"
---,John Swinney,Deputy First Minister of Scotland
+++,John Swinney,Deputy First Minister
+++,Angus Robertson,"Cabinet Secretary for the Constitution, External Affairs and Culture"
+++,Mairi Gougeon,Cabinet Secretary for Rural Affairs and Islands
+++,Humza Yousaf,Cabinet Secretary for Health and Social Care
+++,Kate Forbes,Cabinet Secretary for Finance and the Economy
+++,Shirley-Anne Somerville,Cabinet Secretary for Education and Skills
