item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q349826,Adam Ingram,SNP politician (born 1951),Q6581097,male,1951-05-01T00:00:00Z,11,,
Q405017,Aileen Campbell,Scottish politician (born 1980),Q6581072,female,1980-05-18T00:00:00Z,11,,
Q405025,Aileen McLeod,Scottish politician (born 1971),Q6581072,female,1971-08-24T00:00:00Z,11,,
Q559634,Alasdair Allan,Scottish politician (born 1971),Q6581097,male,1971-05-06T00:00:00Z,11,,
Q1669774,Alasdair Morrison,British politician (born 1968),Q6581097,male,1968-11-18T00:00:00Z,11,,
Q1515752,Alex Neil,Scottish politician (born 1951),Q6581097,male,1951-08-22T00:00:00Z,11,,
Q10652,Alex Salmond,Scottish National Party politician and former First Minister of Scotland (born 1954),Q6581097,male,1954-12-31T00:00:00Z,11,,
Q505043,"Andrew Hardie, Baron Hardie",British judge (born 1946),Q6581097,male,1946-01-08T00:00:00Z,11,,
Q4758462,"Andrew Rutherfurd, Lord Rutherfurd",British politician,Q6581097,male,1791-01-01T00:00:00Z,9,1854-01-01T00:00:00Z,9
Q526409,Andy Kerr,Scottish politician (born 1962),Q6581097,male,1962-03-17T00:00:00Z,11,,
Q524077,Angela Constance,Scottish politician (born 1970),Q6581072,female,1970-07-15T00:00:00Z,11,,
Q544484,Angus MacKay,politician (born 1964),Q6581097,male,1964-01-01T00:00:00Z,10,,
Q480184,Angus Robertson,British politician (born 1969),Q6581097,male,1969-09-28T00:00:00Z,11,,
Q564093,Annabelle Ewing,British politician (born 1960),Q6581072,female,1960-08-20T00:00:00Z,11,,
Q570298,Brian Adam,Scottish politician (1948-2013),Q6581097,male,1948-06-10T00:00:00Z,11,2013-04-25T00:00:00Z,11
Q338231,Brian Wilson,Labour politician in the United Kingdom (born 1948),Q6581097,male,1948-12-13T00:00:00Z,11,,
Q559391,Bruce Crawford,Scottish politician (born 1955),Q6581097,male,1955-02-16T00:00:00Z,11,,
Q5024038,Calum MacDonald,British politician (born 1956),Q6581097,male,1956-05-07T00:00:00Z,11,,
Q727460,Cathy Jamieson,British politician (born 1956),Q6581072,female,1956-11-03T00:00:00Z,11,,
Q5075367,"Charles Baillie, Lord Jerviswoode",British politician,Q6581097,male,1804-11-03T00:00:00Z,11,1879-07-23T00:00:00Z,11
Q1108359,"Colin Boyd, Baron Boyd of Duncansby",Scottish judge (born 1953),Q6581097,male,1953-06-07T00:00:00Z,11,,
Q1200058,Derek Mackay,Scottish politician (born 1977),Q6581097,male,1977-07-30T00:00:00Z,11,,
