item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,gender,genderLabel,dob,dobPrecision,psid
Q405017,Aileen Campbell,Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",2018-06-26T00:00:00Z,2021-05-20T00:00:00Z,,,,Q524077,Angela Constance,Q444675,Shona Robison,,,,,,Q6581072,female,1980-05-18T00:00:00Z,11,Q405017-5fa9a367-4552-c01b-9417-6c453b61047d
Q405017,Aileen Campbell,Q6865944,Minister for Public Health,2016-05-18T00:00:00Z,2018-06-26T00:00:00Z,,,,Q540381,Maureen Watt,Q1612012,Joe FitzPatrick,,,,,,Q6581072,female,1980-05-18T00:00:00Z,11,Q405017-c295f14f-4c05-7d2b-2b93-f4740e20edc7
Q559634,Alasdair Allan,Q6865911,"Minister for Further Education, Higher Education and Science",2011-05-20T00:00:00Z,2011-12-07T00:00:00Z,,,,Q524077,Angela Constance,Q559634,Alasdair Allan,,,,,,Q6581097,male,1971-05-06T00:00:00Z,11,Q559634-2A0D5E89-B3BD-4A88-8180-486949872C6E
Q559634,Alasdair Allan,Q6865911,"Minister for Further Education, Higher Education and Science",2011-12-07T00:00:00Z,2016-05-18T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1971-05-06T00:00:00Z,11,Q559634-9429a8bc-4ad1-1d66-5d3a-be588c8b91b7
Q1515752,Alex Neil,Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-F1E25011-7C77-4CCA-91CF-E4F279CF9BB1
Q1515752,Alex Neil,Q16148216,Cabinet Secretary for Health and Wellbeing,2012-09-05T00:00:00Z,2014-11-19T00:00:00Z,,,,Q467112,Nicola Sturgeon,Q444675,Shona Robison,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-A499F7A2-E838-4741-8148-289D487D9D12
Q1515752,Alex Neil,Q30909024,Cabinet Secretary for Infrastructure and Capital Investment,2011-05-19T00:00:00Z,2012-09-05T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-b8b44e4e-432e-2966-79b1-6e4b900c823d
Q1515752,Alex Neil,Q6865763,"Cabinet Secretary for Social Justice, Communities and Pensioners' Rights",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-4B8A84B7-E411-4CCB-9D1B-B5B48840EB68
Q10652,Alex Salmond,Q1362216,First Minister of Scotland,2007-05-16T00:00:00Z,2014-11-19T00:00:00Z,,,4,Q132040,Jack McConnell,Q467112,Nicola Sturgeon,,,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-20181669,,,Q6581097,male,1954-12-31T00:00:00Z,11,Q10652-3a551f82-4475-19a9-f95d-4083ed53bfac
Q505043,"Andrew Hardie, Baron Hardie",Q1807003,Lord Advocate,1997-01-01T00:00:00Z,2000-02-01T00:00:00Z,,,,Q1240108,"Donald Mackay, Baron Mackay of Drumadoon",Q1108359,"Colin Boyd, Baron Boyd of Duncansby",,,,,,Q6581097,male,1946-01-08T00:00:00Z,11,Q505043-BDB37621-EDA6-4629-BA81-FE54DAB036F6
Q4758462,"Andrew Rutherfurd, Lord Rutherfurd",Q1807003,Lord Advocate,,,,,,,,,,,,,,,Q6581097,male,1791-01-01T00:00:00Z,9,Q4758462-e6680c5a-47a6-9be3-9836-2c730a029616
Q526409,Andy Kerr,Q30864809,Minister for Finance and Public Services,2001-11-22T00:00:00Z,2003-03-27T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581097,male,1962-03-17T00:00:00Z,11,Q526409-73880445-4997-7f5b-42a1-90bfb2160495
